xtime[s] xdist[m] speed[km/h] nmot[rpm] gear[n] accx[g] accy[g] accz[g] steer[deg] yaw[deg/s]     dam_fl[mm] dam_fr[mm] dam_rl[mm] dam_rr[mm]     Jounce_FL[mm] Jounce_FR[mm] Jounce_RL[mm] Jounce_RR[mm]     Ride_AxleFront[mm] Ride_AxleRear[mm]     SideSlipFL[deg] SideSlipFR[deg] SideSlipRL[deg] SideSlipRR[deg] SideSlipCG[deg]     slip_fl[pct] slip_fr[pct] slip_rl[pct] slip_rr[pct]     AeroBalance[pct] Cx[none]     pbrake_f[bar] pbrake_r[bar]     Load_FL_Ch1[kN] Load_FR_Ch1[kN] Load_RL_Ch1[kN] Load_RR_Ch1[kN]     vwheel_fl[km/h] vwheel_fr[km/h] vwheel_rl[km/h] vwheel_rr[km/h]     acc_fl[g] acc_fr[g] acc_rl[g] acc_rr[g]     Fz_fl[kN] Fz_fr[kN] Fz_rl[kN] Fz_rr[kN]     roll[deg]     aps[%] me_act[Nm] md_rl[Nm] md_rr[Nm]     damper_force_FC[kN] damper_force_RC[kN]     dam_3rd_front[mm] dam_3rd_rear[mm]     CamberFL[deg] CamberFR[deg] CamberRL[deg] CamberRR[deg]     ToeFL[deg] ToeFR[deg] ToeRL[deg] ToeRR[deg]     CLA[m2]     Fx_FL[kN] Fx_FR[kN] Fx_RL[kN] Fx_RR[kN]     Fy_FL[kN] Fy_FR[kN] Fy_RL[kN] Fy_RR[kN]     fl_LCA_front[N] fl_LCA_rear[N] fl_UCA_Front[N] fl_UCA_Rear[N] fl_TROD_Out[N] fl_PROD[N]     fr_LCA_front[N] fr_LCA_rear[N] fr_UCA_Front[N] fr_UCA_Rear[N] fr_TROD_Out[N] fr_PROD[N]     rl_LCA_front[N] rl_LCA_rear[N] rl_UCA_Front[N] rl_UCA_Rear[N] rl_TROD_Out[N] rl_PROD[N]     rr_LCA_front[N] rr_LCA_rear[N] rr_UCA_Front[N] rr_UCA_Rear[N] rr_TROD_Out[N] rr_PROD[N]
22.568 1350.586 251.201 6976.613 5.000 -1.689 0.028 -0.003 1.552 -3.539 -9.761 -10.800 -27.150 -28.082 20.299 19.000 12.312 11.147 43.555 67.486 0.339 -0.315 -0.141 0.225 -0.029 -1.655 -1.622 -1.394 -1.509 44.917 1.117 43.039 30.532 4.287 4.484 6.813 7.109 246.869 247.301 247.527 247.588 -0.124 -0.058 0.048 0.118 6397.732 6514.364 5178.179 5321.501 -0.031 0.007 -137.424 -154.606 -275.564 0.834 0.000 4.480 -13.869 -2.950 -3.009 -2.697 -2.727 -0.456 0.196 0.181 -0.181 4.137 -4.585 -4.597 -3.292 -3.636 -0.611 0.518 0.567 -0.824 -14557.392 2815.668 5920.001 -3739.898 835.494 4286.826 -14583.494 2737.888 5899.055 -3707.287 838.691 4484.377 -17066.436 -5884.266 5473.902 3277.261 1539.584 6812.581 -17311.820 -5707.626 5223.229 3229.658 1763.760 7109.266
22.627 1354.640 246.679 6735.222 5.000 -2.606 0.114 -0.018 0.528 -2.640 -10.128 -9.683 -29.080 -28.680 19.841 20.396 9.899 10.401 41.293 70.822 0.413 -0.230 -0.019 0.357 0.115 -3.049 -2.868 -3.104 -3.174 46.204 1.124 72.593 51.497 4.284 4.691 6.064 6.649 239.025 239.738 238.899 238.979 -0.051 0.056 -0.030 0.071 7016.564 7292.810 4295.831 4603.292 0.042 0.004 -127.186 -96.972 -249.292 0.969 0.000 5.041 -15.061 -3.022 -2.958 -2.704 -2.634 -0.365 0.278 0.186 -0.186 4.239 -7.928 -7.954 -5.202 -5.637 -0.723 0.155 0.118 -0.857 -21209.564 8641.131 9902.659 -6582.384 -21.938 4283.671 -20847.910 9009.954 9916.789 -6627.414 -383.583 4691.324 -22540.492 -783.377 9236.190 292.631 1706.817 6063.912 -22781.916 -87.266 9050.174 -257.596 2104.826 6649.182
22.657 1356.667 243.772 6586.021 5.000 -2.907 0.133 -0.020 0.327 -2.294 -10.299 -9.489 -29.688 -28.943 19.626 20.638 9.140 10.072 40.940 71.831 0.447 -0.193 0.018 0.395 0.159 -3.807 -3.509 -4.142 -4.194 46.457 1.126 82.685 58.657 4.113 4.561 5.962 6.590 234.377 235.336 233.570 233.660 -0.003 0.056 -0.020 0.037 7118.937 7426.588 4062.485 4392.704 0.059 0.004 -120.771 -68.755 -235.745 0.975 0.000 5.058 -15.473 -3.036 -2.945 -2.701 -2.607 -0.347 0.293 0.187 -0.187 4.263 -9.039 -9.075 -5.824 -6.301 -0.766 0.019 0.024 -0.802 -23370.855 10719.168 11283.684 -7576.039 -358.604 4112.616 -22842.924 11279.769 11301.570 -7650.738 -854.854 4560.788 -24466.646 886.265 10567.470 -715.073 1765.426 5961.734 -24735.244 1611.610 10356.098 -1296.734 2203.136 6589.926
22.686 1358.664 240.681 6465.802 5.000 -3.017 0.154 -0.018 0.371 -2.113 -10.546 -9.494 -30.050 -29.061 19.318 20.632 8.688 9.924 41.169 72.275 0.487 -0.151 0.048 0.425 0.192 -4.306 -3.867 -4.772 -4.811 46.423 1.127 85.378 60.568 3.930 4.437 5.860 6.554 230.213 231.484 229.102 229.204 0.009 0.034 0.005 0.029 7049.893 7399.445 3968.366 4330.791 0.073 0.003 -116.264 -58.776 -244.187 0.917 0.000 4.870 -15.700 -3.043 -2.931 -2.702 -2.590 -0.350 0.289 0.188 -0.188 4.266 -9.436 -9.480 -6.064 -6.593 -0.844 -0.095 -0.030 -0.791 -23993.590 11351.135 11693.177 -7765.270 -529.858 3930.150 -23296.184 12092.568 11697.446 -7870.439 -1143.026 4436.833 -24981.555 1378.541 10844.770 -973.211 1809.522 5860.488 -25295.955 2119.858 10599.108 -1573.824 2293.750 6554.445
22.747 1362.658 234.054 7295.827 4.000 -3.140 0.198 -0.013 1.452 -2.603 -11.111 -9.685 -30.831 -29.442 18.611 20.394 7.712 9.448 41.726 73.359 0.612 -0.024 0.110 0.488 0.242 -5.207 -4.361 -7.118 -7.163 46.339 1.130 88.895 63.062 3.646 4.287 5.443 6.340 221.735 223.982 217.279 217.410 0.030 0.019 0.021 0.009 6933.481 7375.691 3728.017 4174.583 0.097 0.003 -151.924 -105.506 -346.751 0.804 0.000 4.304 -16.250 -3.043 -2.911 -2.700 -2.553 -0.440 0.199 0.188 -0.188 4.273 -9.867 -9.941 -6.318 -7.007 -1.083 -0.439 -0.104 -0.675 -24870.006 12034.384 12239.062 -8054.876 -640.187 3645.891 -23655.314 13294.039 12163.371 -8234.057 -1559.257 4286.500 -25443.953 2306.578 11258.333 -1499.091 1823.591 5442.641 -25983.496 2803.367 10856.518 -1912.337 2417.165 6340.386
22.778 1364.654 230.630 7076.541 4.000 -3.118 0.236 -0.015 2.471 -3.509 -11.430 -9.782 -31.333 -29.697 18.212 20.272 7.084 9.129 42.091 74.005 0.711 0.074 0.170 0.548 0.281 -5.539 -4.413 -8.575 -8.641 46.277 1.132 88.615 62.863 3.508 4.262 5.116 6.187 217.676 220.632 210.701 210.860 0.035 0.035 0.006 0.003 6834.467 7354.177 3593.924 4115.134 0.114 0.003 -141.677 -60.513 -342.290 0.746 0.000 3.993 -16.608 -3.044 -2.899 -2.700 -2.527 -0.524 0.113 0.188 -0.188 4.276 -9.867 -9.959 -6.164 -6.970 -1.274 -0.705 -0.149 -0.638 -24944.326 11904.972 12249.002 -7982.708 -599.433 3508.294 -23328.664 13553.981 12104.790 -8219.297 -1745.628 4261.753 -25137.260 2503.619 11334.130 -1644.712 1727.438 5115.563 -25839.670 2857.860 10828.744 -1953.398 2406.820 6187.123
22.809 1366.612 227.310 6923.329 4.000 -3.022 0.324 -0.021 4.511 -5.227 -11.774 -9.780 -31.982 -29.943 17.782 20.275 6.273 8.821 42.743 74.526 0.889 0.252 0.266 0.643 0.337 -5.343 -4.015 -9.236 -9.344 46.093 1.133 83.613 59.315 3.254 4.261 4.704 6.157 214.893 218.446 206.087 206.306 0.083 0.067 -0.014 -0.033 6555.328 7249.875 3512.989 4209.034 0.146 0.003 -135.197 -47.267 -420.796 0.694 0.000 3.738 -17.032 -3.050 -2.884 -2.710 -2.487 -0.695 -0.057 0.188 -0.188 4.272 -9.360 -9.458 -6.021 -7.093 -1.686 -1.209 -0.223 -0.712 -24163.490 10695.325 11628.215 -7416.393 -290.883 3254.190 -21735.480 13098.625 11349.871 -7787.990 -1878.406 4260.599 -24020.623 2005.180 10477.716 -1226.744 1734.763 4703.944 -25025.721 2264.647 9775.832 -1476.952 2627.977 6157.202
22.872 1370.526 220.723 6695.533 4.000 -2.894 0.538 -0.024 8.195 -10.590 -13.007 -9.621 -33.470 -29.972 16.241 20.474 4.412 8.786 44.042 75.499 1.302 0.662 0.655 1.028 0.597 -6.052 -3.686 -9.549 -9.790 45.720 1.136 79.503 56.400 2.562 4.316 3.905 6.404 206.811 213.103 199.178 199.587 0.077 0.038 0.014 -0.022 6011.277 7219.824 3231.791 4433.923 0.251 0.004 -125.464 77.081 -560.637 0.529 0.000 2.934 -17.754 -3.094 -2.814 -2.765 -2.381 -1.003 -0.363 0.187 -0.188 4.262 -8.733 -8.956 -5.528 -7.359 -2.289 -2.432 -0.511 -1.138 -23414.344 9641.900 11086.005 -7102.489 202.526 2561.664 -19569.135 13517.976 10637.277 -7652.624 -2395.771 4315.962 -22739.127 1628.921 10057.229 -931.865 1469.376 3905.499 -24439.967 2141.699 8871.108 -1411.367 2998.619 6404.157
22.904 1372.483 217.459 6615.051 4.000 -2.823 0.685 -0.024 9.998 -14.000 -13.804 -9.364 -34.376 -29.833 15.245 20.795 3.280 8.959 44.599 76.023 1.576 0.932 0.964 1.333 0.820 -6.830 -3.531 -9.262 -9.578 45.573 1.137 77.113 54.704 2.227 4.458 3.381 6.540 201.874 210.455 196.696 197.256 0.068 0.034 0.017 -0.015 5738.520 7278.881 3038.620 4577.548 0.324 0.004 -121.980 159.733 -651.594 0.446 0.000 2.530 -18.120 -3.132 -2.762 -2.808 -2.313 -1.155 -0.512 0.187 -0.188 4.259 -8.413 -8.709 -5.180 -7.510 -2.497 -3.301 -0.729 -1.554 -22896.424 9155.229 10779.610 -6903.484 372.878 2226.687 -18236.021 13913.940 10245.904 -7573.561 -2832.480 4457.892 -21950.250 1378.627 9856.916 -747.558 1273.185 3380.815 -24013.453 2352.875 8395.693 -1594.791 3230.056 6540.115
22.936 1374.394 214.287 6512.451 4.000 -2.706 0.906 -0.021 12.641 -19.248 -14.448 -9.079 -35.219 -29.724 14.440 21.151 2.227 9.094 45.112 76.428 1.987 1.335 1.442 1.803 1.164 -7.493 -3.263 -9.276 -9.744 45.429 1.138 71.789 50.927 1.911 4.678 2.770 6.668 197.217 208.206 193.554 194.263 0.227 0.140 -0.064 -0.148 5412.893 7335.930 2860.024 4793.884 0.397 0.004 -117.858 197.260 -745.274 0.390 0.000 2.262 -18.471 -3.169 -2.719 -2.853 -2.244 -1.377 -0.731 0.186 -0.188 4.255 -7.858 -8.159 -4.805 -7.672 -2.811 -4.665 -1.016 -2.173 -21923.111 8026.545 10159.480 -6325.973 579.041 1911.386 -15818.767 14237.850 9376.996 -7308.852 -3411.073 4677.876 -20644.941 640.564 9097.069 -195.210 1133.378 2769.533 -23011.525 2451.190 7400.897 -1690.541 3562.363 6668.307
23.001 1378.220 208.533 6669.652 4.000 -2.104 1.659 -0.029 17.617 -25.212 -17.453 -6.656 -38.889 -28.397 10.684 24.180 -2.361 10.754 46.821 77.200 2.929 2.246 2.315 2.657 1.869 -8.670 -2.138 -5.365 -4.162 44.882 1.141 50.548 35.859 0.349 5.720 0.335 7.889 189.071 205.216 196.177 201.041 0.088 0.041 0.035 -0.015 3928.022 7669.445 2183.440 6140.549 0.779 0.006 -124.313 364.268 -1052.908 0.300 0.000 1.826 -19.608 -3.437 -2.447 -3.114 -1.907 -1.802 -1.136 0.183 -0.187 4.232 -5.524 -5.771 -3.074 -7.210 -2.674 -8.092 -1.717 -6.762 -16276.636 4920.510 7148.957 -4406.184 1026.396 348.699 -8201.433 13257.101 6208.865 -5991.951 -4574.562 5720.008 -15123.309 -1633.388 6411.941 1407.731 483.613 334.899 -17987.916 5338.854 5111.371 -4741.208 4739.758 7888.669
23.034 1380.134 206.209 6717.233 4.000 -1.658 1.965 -0.044 19.989 -26.123 -19.347 -5.218 -41.081 -27.482 8.316 25.978 -5.101 11.898 47.887 77.594 3.390 2.688 2.638 2.971 2.157 -9.041 -1.662 -3.361 -2.636 44.530 1.142 39.478 28.006 -0.476 6.166 -0.800 8.508 186.085 203.929 198.043 202.021 -0.154 -0.088 0.153 0.204 3149.953 7782.958 1893.214 6810.150 0.994 0.007 -126.373 423.246 -1005.527 0.226 0.000 1.485 -20.237 -3.588 -2.293 -3.257 -1.723 -2.007 -1.327 0.180 -0.186 4.216 -4.341 -4.481 -1.938 -5.687 -2.363 -9.436 -1.958 -8.931 -13073.985 3566.967 5580.770 -3409.219 1050.123 -476.128 -4602.340 12323.686 4470.291 -5311.088 -4770.157 6166.013 -12177.765 -2806.480 5286.712 2036.506 122.193 -800.153 -14856.705 6242.868 5066.984 -6344.472 4638.468 8508.267
23.067 1381.998 204.379 6712.083 4.000 -1.411 2.119 -0.061 22.510 -25.886 -20.984 -4.304 -42.840 -26.753 6.270 27.120 -7.300 12.808 48.952 77.973 3.814 3.095 2.846 3.172 2.360 -8.894 -1.400 -2.131 -2.274 44.177 1.143 31.963 22.675 -0.920 6.251 -1.237 8.685 184.660 202.608 198.786 200.969 -0.189 -0.097 0.167 0.263 2692.913 7717.470 1826.959 7118.291 1.136 0.009 -126.132 419.325 -991.865 0.126 0.000 0.944 -20.749 -3.672 -2.200 -3.342 -1.605 -2.226 -1.530 0.177 -0.185 4.200 -3.590 -3.594 -1.252 -5.153 -2.246 -10.193 -2.177 -9.803 -11106.085 2521.653 4620.473 -2650.755 1009.558 -920.224 -2202.061 11657.653 3144.190 -4897.647 -4652.151 6251.171 -10469.261 -4026.526 4435.768 2736.144 -38.412 -1236.604 -13080.688 6248.927 4393.568 -6681.758 4705.596 8685.143
23.133 1385.734 201.052 6632.772 4.000 -1.233 2.249 -0.065 25.907 -25.719 -22.703 -3.605 -44.850 -26.409 4.121 27.994 -9.812 13.239 49.895 78.968 4.399 3.658 3.153 3.472 2.654 -8.533 -1.301 -1.494 -2.031 43.948 1.146 27.465 19.483 -1.110 6.254 -1.540 8.549 182.251 199.440 196.815 198.197 0.003 0.035 0.072 0.110 2466.169 7658.145 1765.166 7218.376 1.255 0.011 -122.668 390.061 -913.685 0.038 0.000 0.181 -21.567 -3.727 -2.131 -3.395 -1.498 -2.520 -1.807 0.174 -0.185 4.196 -3.089 -3.056 -0.833 -4.558 -2.338 -10.832 -2.332 -10.405 -10142.170 1674.863 4135.166 -2189.318 1051.880 -1110.394 -582.269 11526.146 2173.401 -4771.908 -4489.632 6253.937 -9434.198 -4744.055 3932.267 3142.882 -133.441 -1539.960 -11675.706 6603.236 4254.862 -7129.519 4505.553 8548.815
23.167 1387.608 199.464 6581.539 4.000 -1.203 2.282 -0.061 27.147 -25.907 -23.098 -3.506 -45.437 -26.520 3.627 28.118 -10.546 13.100 50.073 79.450 4.613 3.865 3.283 3.599 2.772 -8.365 -1.300 -1.473 -2.025 43.943 1.147 26.553 18.837 -1.112 6.289 -1.688 8.462 181.084 197.852 195.285 196.663 0.063 0.078 0.039 0.052 2443.455 7670.686 1720.145 7220.571 1.280 0.011 -120.513 387.701 -903.656 0.023 0.000 -0.040 -21.905 -3.734 -2.120 -3.401 -1.469 -2.626 -1.909 0.173 -0.185 4.200 -2.979 -2.963 -0.785 -4.460 -2.418 -10.998 -2.331 -10.543 -10039.125 1420.900 4070.538 -2084.743 1081.784 -1112.258 -259.452 11535.982 1950.219 -4753.162 -4445.304 6289.007 -9168.434 -4736.747 3802.834 3140.884 -139.291 -1688.174 -11351.204 6772.678 4205.719 -7256.675 4457.208 8461.646
23.200 1389.432 197.940 6535.497 4.000 -1.157 2.304 -0.060 28.004 -26.171 -23.394 -3.405 -45.918 -26.614 3.257 28.244 -11.147 12.983 50.311 79.789 4.784 4.031 3.408 3.720 2.883 -8.311 -1.265 -1.392 -1.982 43.896 1.148 25.183 17.865 -1.221 6.306 -1.844 8.474 179.750 196.406 193.929 195.266 0.035 0.053 0.059 0.078 2344.643 7660.321 1680.392 7277.181 1.306 0.012 -118.675 379.736 -891.326 0.016 0.000 -0.187 -22.184 -3.746 -2.105 -3.411 -1.441 -2.700 -1.980 0.172 -0.186 4.201 -2.808 -2.812 -0.713 -4.336 -2.386 -11.075 -2.337 -10.737 -9635.366 1241.924 3894.205 -1971.920 1077.972 -1220.950 101.096 11356.705 1675.958 -4671.801 -4344.590 6306.016 -8814.178 -4810.947 3605.429 3190.106 -144.368 -1843.522 -10980.449 6848.854 4111.696 -7355.943 4432.568 8474.432
23.267 1393.099 194.989 6446.979 4.000 -1.073 2.325 -0.060 28.950 -26.060 -23.957 -3.500 -46.548 -26.799 2.554 28.125 -11.935 12.751 51.002 80.258 5.058 4.297 3.616 3.923 3.080 -8.181 -1.205 -1.225 -1.888 43.697 1.150 22.825 16.192 -1.376 6.209 -1.967 8.402 177.257 193.570 191.350 192.552 0.041 0.051 0.066 0.078 2192.291 7556.871 1664.587 7320.214 1.330 0.013 -115.326 356.934 -855.018 0.007 0.000 -0.678 -22.578 -3.751 -2.086 -3.415 -1.410 -2.783 -2.058 0.171 -0.185 4.193 -2.545 -2.543 -0.605 -4.059 -2.333 -11.050 -2.410 -10.960 -8976.671 923.590 3606.469 -1746.497 1043.546 -1375.852 655.491 10933.964 1191.697 -4509.846 -4076.793 6209.496 -8336.486 -5189.892 3234.646 3447.167 -141.610 -1967.147 -10299.109 6880.116 3970.970 -7421.654 4307.032 8401.719
23.301 1394.942 193.551 6402.235 4.000 -1.045 2.326 -0.060 29.054 -25.795 -24.212 -3.663 -46.750 -26.923 2.235 27.921 -12.187 12.597 51.365 80.473 5.152 4.390 3.696 4.001 3.161 -8.130 -1.191 -1.179 -1.859 43.589 1.150 22.130 15.699 -1.421 6.147 -2.008 8.333 176.037 192.154 190.031 191.183 0.052 0.056 0.063 0.068 2147.012 7505.043 1657.717 7310.815 1.334 0.013 -113.725 347.715 -837.219 0.005 0.000 -0.991 -22.734 -3.748 -2.079 -3.412 -1.402 -2.793 -2.067 0.171 -0.185 4.189 -2.465 -2.463 -0.573 -3.954 -2.319 -11.011 -2.433 -10.999 -8782.550 824.148 3524.749 -1679.706 1031.942 -1420.864 813.218 10790.974 1040.194 -4459.202 -3974.490 6147.429 -8193.380 -5297.710 3124.956 3520.257 -140.547 -2008.219 -10066.099 6891.249 3941.067 -7426.940 4237.114 8332.524
23.334 1396.728 192.129 6356.018 4.000 -1.034 2.320 -0.060 28.458 -25.591 -24.405 -3.841 -46.940 -27.119 1.994 27.699 -12.425 12.352 51.634 80.778 5.173 4.412 3.767 4.071 3.231 -8.128 -1.189 -1.203 -1.877 43.527 1.151 21.909 15.542 -1.440 6.109 -2.082 8.228 174.751 190.750 188.592 189.744 0.053 0.060 0.059 0.066 2128.217 7477.570 1632.485 7274.345 1.333 0.013 -112.211 345.431 -830.100 0.004 0.000 -1.268 -22.918 -3.747 -2.069 -3.405 -1.397 -2.743 -2.019 0.170 -0.185 4.188 -2.438 -2.441 -0.569 -3.923 -2.306 -10.984 -2.418 -10.986 -8703.461 797.434 3495.478 -1657.242 1022.372 -1440.380 874.536 10734.015 993.202 -4433.924 -3947.022 6109.266 -8099.320 -5228.997 3090.163 3477.706 -139.353 -2082.145 -9948.271 6939.794 3917.088 -7427.103 4190.100 8228.273
23.401 1400.292 189.431 6384.545 4.000 -0.998 2.309 -0.060 28.115 -24.815 -24.831 -4.306 -47.186 -27.427 1.461 27.117 -12.732 11.966 52.367 81.159 5.248 4.488 3.844 4.148 3.320 -8.076 -1.164 -1.171 -1.850 43.301 1.152 20.990 14.890 -1.525 5.984 -2.151 8.107 172.405 188.092 186.024 187.108 0.053 0.052 0.067 0.065 2051.624 7381.345 1619.248 7246.215 1.329 0.014 -117.230 319.450 -826.490 0.003 0.000 -1.934 -23.182 -3.736 -2.057 -3.393 -1.390 -2.716 -1.992 0.170 -0.185 4.178 -2.330 -2.334 -0.543 -3.817 -2.252 -10.889 -2.427 -10.991 -8386.056 711.706 3370.876 -1577.865 991.891 -1525.342 1077.571 10516.467 803.926 -4352.087 -3809.511 5983.576 -7896.063 -5317.457 2934.848 3543.998 -131.616 -2151.495 -9659.075 6910.828 3833.898 -7387.034 4115.034 8106.947
23.435 1402.071 188.057 7066.663 3.000 -1.039 2.293 -0.058 28.248 -24.370 -25.005 -4.555 -47.310 -27.624 1.244 26.806 -12.888 11.720 52.632 81.429 5.290 4.529 3.858 4.162 3.341 -8.114 -1.181 -1.454 -2.088 43.237 1.153 21.179 15.024 -1.520 5.940 -2.211 8.003 171.089 186.677 184.160 185.289 0.046 0.032 0.085 0.071 2058.410 7359.444 1597.374 7197.067 1.324 0.014 -151.232 259.155 -973.166 0.002 0.000 -2.250 -23.335 -3.726 -2.056 -3.384 -1.389 -2.728 -2.004 0.169 -0.185 4.177 -2.331 -2.343 -0.658 -4.187 -2.264 -10.868 -2.370 -10.879 -8432.769 726.646 3399.118 -1607.885 1001.480 -1520.223 1045.309 10551.854 805.322 -4381.552 -3774.656 5939.519 -7909.286 -5105.811 2873.791 3452.709 -91.786 -2211.348 -9854.167 6940.450 3494.228 -7277.506 4320.979 8003.384
23.468 1403.798 186.667 7447.923 3.000 -1.014 2.296 -0.058 29.248 -24.327 -25.006 -4.696 -47.547 -27.966 1.242 26.630 -13.184 11.293 52.762 81.853 5.382 4.618 3.873 4.177 3.351 -7.237 -1.042 -1.554 -2.178 43.244 1.154 18.360 13.024 -1.428 5.983 -2.409 7.783 171.414 185.539 182.607 183.756 0.065 0.064 0.054 0.051 2046.376 7331.973 1573.014 7163.206 1.318 0.016 -161.774 205.726 -1061.671 0.002 0.000 -2.357 -23.611 -3.713 -2.066 -3.370 -1.383 -2.813 -2.088 0.169 -0.186 4.181 -2.194 -2.048 -0.688 -4.305 -2.410 -10.852 -2.329 -10.818 -8151.624 59.331 3192.533 -1143.527 940.197 -1428.055 1603.114 9971.438 348.821 -4117.445 -3581.969 5983.167 -7306.358 -5265.353 2305.466 3627.167 -21.489 -2409.298 -9332.805 6655.381 2818.586 -6972.357 4436.714 7783.234
23.535 1407.264 184.047 7414.549 3.000 -0.962 2.294 -0.061 30.471 -24.428 -25.187 -4.950 -47.996 -28.435 1.016 26.312 -13.746 10.706 53.217 82.479 5.470 4.703 3.884 4.186 3.349 -6.124 -0.995 -1.469 -2.118 43.155 1.156 17.462 12.388 -1.549 5.896 -2.545 7.685 170.988 183.022 180.176 181.310 0.057 0.057 0.061 0.062 1954.034 7261.156 1536.393 7148.262 1.319 0.017 -158.058 200.424 -1044.115 0.002 0.000 -2.682 -24.050 -3.702 -2.068 -3.357 -1.366 -2.918 -2.190 0.168 -0.186 4.181 -1.918 -1.914 -0.636 -4.193 -2.498 -10.780 -2.288 -10.817 -7903.483 -222.571 3097.685 -1157.476 1065.285 -1548.911 1775.608 9764.326 154.521 -4070.025 -3409.180 5895.534 -7027.549 -5204.248 2192.819 3579.288 -26.294 -2544.906 -9064.446 6594.343 2745.968 -6936.807 4383.527 7685.200
23.570 1409.005 182.712 7353.715 3.000 -1.002 2.273 -0.060 30.847 -24.467 -25.347 -5.147 -48.139 -28.601 0.817 26.066 -13.923 10.499 53.403 82.776 5.493 4.726 3.889 4.189 3.347 -6.578 -1.135 -1.606 -2.211 43.125 1.156 19.822 14.062 -1.603 5.806 -2.529 7.647 168.909 181.441 178.610 179.833 0.036 0.035 0.079 0.080 1978.097 7252.902 1504.383 7079.623 1.315 0.015 -154.777 230.855 -1032.910 0.002 0.000 -2.948 -24.197 -3.692 -2.070 -3.348 -1.364 -2.951 -2.223 0.168 -0.186 4.182 -2.007 -2.159 -0.676 -4.301 -2.461 -10.765 -2.228 -10.707 -8241.524 237.728 3310.835 -1547.343 1153.119 -1602.906 1282.024 10263.126 492.218 -4306.192 -3494.157 5805.898 -7415.965 -4741.042 2628.347 3242.299 -61.842 -2528.964 -9527.170 6842.880 3067.245 -7073.034 4365.346 7647.102
23.603 1410.693 181.412 7313.067 3.000 -0.939 2.279 -0.059 31.143 -24.714 -25.393 -5.293 -48.278 -28.831 0.758 25.884 -14.097 10.212 53.639 82.988 5.508 4.740 3.905 4.204 3.350 -6.123 -0.971 -1.420 -2.091 43.064 1.157 16.484 11.694 -1.537 5.816 -2.624 7.479 168.498 180.465 177.655 178.795 0.063 0.071 0.046 0.053 1936.005 7189.326 1521.715 7079.719 1.310 0.018 -152.648 197.793 -1026.971 0.002 0.000 -3.092 -24.373 -3.683 -2.074 -3.339 -1.361 -2.976 -2.248 0.168 -0.186 4.181 -1.893 -1.841 -0.607 -4.097 -2.485 -10.705 -2.278 -10.746 -7730.706 -359.742 3006.554 -1000.333 1001.977 -1537.221 1930.590 9565.260 -4.586 -3952.776 -3324.936 5815.741 -6797.117 -5260.840 2033.349 3621.952 -17.655 -2624.366 -8751.224 6521.017 2618.454 -6843.388 4305.457 7478.728
23.670 1414.066 178.963 7225.274 3.000 -0.889 2.273 -0.057 31.855 -24.640 -25.687 -5.659 -48.447 -29.056 0.392 25.426 -14.309 9.930 54.262 83.199 5.546 4.776 3.898 4.195 3.335 -5.662 -0.930 -1.253 -1.968 42.859 1.158 15.800 11.209 -1.673 5.688 -2.636 7.476 167.012 178.103 175.540 176.615 0.056 0.050 0.064 0.058 1837.530 7096.601 1526.251 7097.573 1.309 0.019 -148.323 192.940 -985.858 0.002 0.000 -3.585 -24.561 -3.670 -2.071 -3.332 -1.355 -3.039 -2.308 0.167 -0.186 4.170 -1.715 -1.732 -0.541 -3.910 -2.440 -10.606 -2.300 -10.794 -7398.565 -418.775 2889.436 -1018.807 1035.637 -1672.581 2064.019 9390.072 -147.931 -3912.880 -3180.716 5688.498 -6659.195 -5403.282 1960.811 3699.507 -30.357 -2635.751 -8523.017 6456.797 2674.528 -6853.501 4217.096 7476.147
23.704 1415.748 177.735 7170.502 3.000 -0.917 2.256 -0.055 32.233 -24.491 -25.875 -5.896 -48.498 -29.144 0.157 25.130 -14.372 9.820 54.499 83.365 5.562 4.792 3.883 4.180 3.319 -6.025 -1.025 -1.344 -2.024 42.792 1.158 17.333 12.296 -1.702 5.622 -2.640 7.434 165.221 176.706 174.173 175.303 0.034 0.029 0.080 0.076 1855.980 7086.883 1500.777 7043.012 1.305 0.017 -145.759 212.895 -977.928 0.001 0.000 -3.902 -24.627 -3.659 -2.072 -3.326 -1.356 -3.072 -2.340 0.167 -0.186 4.167 -1.789 -1.894 -0.570 -3.981 -2.412 -10.591 -2.249 -10.706 -7625.903 -108.951 3029.581 -1262.984 1081.407 -1701.595 1738.776 9718.062 72.329 -4063.140 -3236.120 5621.899 -6896.611 -5066.910 2243.755 3457.795 -52.644 -2640.323 -8821.208 6608.943 2877.324 -6932.504 4205.181 7433.552
