xtime[s] xdist[m] speed[km/h] nmot[rpm] gear[n] accx[g] accy[g] accz[g] steer[deg] yaw[deg/s]     dam_fl[mm] dam_fr[mm] dam_rl[mm] dam_rr[mm]     Jounce_FL[mm] Jounce_FR[mm] Jounce_RL[mm] Jounce_RR[mm]     Ride_AxleFront[mm] Ride_AxleRear[mm]     SideSlipFL[deg] SideSlipFR[deg] SideSlipRL[deg] SideSlipRR[deg] SideSlipCG[deg]     slip_fl[pct] slip_fr[pct] slip_rl[pct] slip_rr[pct]     AeroBalance[pct] Cx[none]     pbrake_f[bar] pbrake_r[bar]     Load_FL_Ch1[kN] Load_FR_Ch1[kN] Load_RL_Ch1[kN] Load_RR_Ch1[kN]     vwheel_fl[km/h] vwheel_fr[km/h] vwheel_rl[km/h] vwheel_rr[km/h]     acc_fl[g] acc_fr[g] acc_rl[g] acc_rr[g]     Fz_fl[kN] Fz_fr[kN] Fz_rl[kN] Fz_rr[kN]     roll[deg]     aps[%] me_act[Nm] md_rl[Nm] md_rr[Nm]     damper_force_FC[kN] damper_force_RC[kN]     dam_3rd_front[mm] dam_3rd_rear[mm]     CamberFL[deg] CamberFR[deg] CamberRL[deg] CamberRR[deg]     ToeFL[deg] ToeFR[deg] ToeRL[deg] ToeRR[deg]     CLA[m2]     Fx_FL[kN] Fx_FR[kN] Fx_RL[kN] Fx_RR[kN]     Fy_FL[kN] Fy_FR[kN] Fy_RL[kN] Fy_RR[kN]     fl_LCA_front[N] fl_LCA_rear[N] fl_UCA_Front[N] fl_UCA_Rear[N] fl_TROD_Out[N] fl_PROD[N]     fr_LCA_front[N] fr_LCA_rear[N] fr_UCA_Front[N] fr_UCA_Rear[N] fr_TROD_Out[N] fr_PROD[N]     rl_LCA_front[N] rl_LCA_rear[N] rl_UCA_Front[N] rl_UCA_Rear[N] rl_TROD_Out[N] rl_PROD[N]     rr_LCA_front[N] rr_LCA_rear[N] rr_UCA_Front[N] rr_UCA_Rear[N] rr_TROD_Out[N] rr_PROD[N]
0.951 56.506 222.268 7092.916 4.000 0.441 -0.010 -0.000 -0.057 0.082 -16.184 -16.277 -28.196 -28.285 12.270 12.154 11.004 10.894 56.466 66.300 0.325 -0.347 -0.180 0.159 -0.009 -0.039 -0.039 1.383 1.387 39.506 1.120 0.014 0.014 2.119 2.087 7.095 7.052 222.183 222.173 225.345 225.346 0.001 0.001 -0.000 -0.000 4010.398 3987.690 6067.757 6044.739 -0.006 100.002 702.474 1385.982 1384.160 0.001 0.000 -4.419 -14.458 -2.820 -2.828 -2.688 -2.697 -0.331 0.341 0.169 -0.169 3.831 -0.069 -0.069 3.866 3.861 -0.631 0.676 0.837 -0.772 -3991.936 -4261.595 519.531 656.146 1090.435 2118.881 -4023.926 -4289.878 532.949 665.816 1101.864 2087.052 -6694.483 -14006.732 4008.201 6763.847 -1201.222 7095.163 -6701.749 -14067.633 3985.982 6819.248 -1204.011 7052.391
1.090 65.168 224.403 6480.448 5.000 0.428 -0.007 -0.000 -0.048 0.043 -15.746 -15.810 -28.020 -28.081 12.817 12.737 11.225 11.148 55.806 65.988 0.327 -0.345 -0.176 0.162 -0.006 -0.037 -0.037 1.353 1.355 39.734 1.119 0.014 0.014 2.195 2.174 7.183 7.153 224.318 224.313 227.441 227.441 -0.001 0.001 -0.001 0.001 4063.001 4047.811 6103.496 6087.804 -0.004 100.001 765.745 1368.609 1366.997 0.001 0.000 -3.742 -14.279 -2.832 -2.838 -2.696 -2.702 -0.332 0.340 0.169 -0.169 3.842 -0.068 -0.068 3.815 3.811 -0.638 0.674 0.837 -0.794 -4045.636 -4321.012 520.338 662.953 1113.491 2194.638 -4074.211 -4346.965 531.249 670.987 1123.678 2173.593 -6773.859 -14093.212 3957.635 6834.042 -1169.286 7182.742 -6778.879 -14133.233 3941.675 6871.203 -1170.675 7153.409
1.159 69.498 225.449 6456.020 5.000 0.427 -0.009 0.000 -0.118 0.076 -15.558 -15.621 -27.893 -27.956 13.053 12.974 11.384 11.304 55.537 65.783 0.323 -0.349 -0.176 0.162 -0.005 -0.037 -0.037 1.348 1.351 39.814 1.118 0.014 0.014 2.228 2.202 7.245 7.208 225.365 225.357 228.490 228.490 -0.001 -0.000 0.000 0.001 4086.096 4067.456 6129.366 6110.500 -0.004 99.998 773.100 1370.158 1369.010 0.002 0.000 -3.460 -14.160 -2.837 -2.842 -2.700 -2.706 -0.326 0.346 0.169 -0.170 3.845 -0.068 -0.067 3.820 3.816 -0.629 0.684 0.843 -0.800 -4056.869 -4334.913 517.263 663.729 1118.860 2227.578 -4102.957 -4376.749 533.734 675.342 1135.257 2201.772 -6808.302 -14154.269 3961.882 6867.900 -1167.839 7245.268 -6807.925 -14186.900 3947.083 6900.133 -1170.050 7208.289
1.228 73.818 226.484 6474.094 5.000 0.425 -0.007 0.000 -0.040 0.067 -15.390 -15.460 -27.763 -27.830 13.262 13.175 11.546 11.462 55.297 65.580 0.328 -0.344 -0.177 0.161 -0.006 -0.037 -0.037 1.342 1.345 39.883 1.118 0.014 0.014 2.258 2.234 7.296 7.263 226.400 226.392 229.525 229.526 0.001 0.001 -0.000 -0.001 4107.124 4089.724 6150.621 6132.993 -0.004 100.002 774.229 1369.902 1368.742 0.002 0.000 -3.214 -14.039 -2.841 -2.847 -2.704 -2.710 -0.332 0.339 0.169 -0.169 3.847 -0.067 -0.067 3.819 3.816 -0.641 0.674 0.852 -0.802 -4088.730 -4368.131 520.459 668.509 1131.422 2258.191 -4111.721 -4388.334 530.230 675.594 1139.774 2233.692 -6836.071 -14197.412 3962.161 6891.826 -1163.875 7295.849 -6841.434 -14244.758 3945.646 6934.670 -1166.528 7263.081
1.365 82.458 228.522 6528.481 5.000 0.419 -0.004 -0.000 -0.013 0.015 -15.090 -15.134 -27.540 -27.580 13.637 13.583 11.825 11.775 54.833 65.203 0.331 -0.341 -0.174 0.165 -0.004 -0.036 -0.036 1.329 1.330 40.019 1.117 0.014 0.014 2.316 2.303 7.389 7.371 228.436 228.434 231.558 231.559 -0.001 -0.000 0.000 0.001 4146.777 4137.682 6188.305 6178.757 -0.003 100.001 772.840 1367.083 1365.729 0.002 0.000 -2.745 -13.816 -2.850 -2.854 -2.713 -2.717 -0.335 0.337 0.169 -0.169 3.851 -0.067 -0.067 3.811 3.808 -0.649 0.669 0.852 -0.824 -4133.324 -4416.357 522.042 674.671 1149.974 2315.680 -4149.052 -4430.803 528.116 679.363 1155.670 2303.106 -6897.965 -14301.597 3952.079 6957.448 -1154.341 7388.579 -6902.653 -14329.129 3940.882 6982.919 -1154.819 7371.040
1.433 86.778 229.524 6556.386 5.000 0.417 -0.005 -0.000 -0.074 0.036 -14.940 -14.977 -27.426 -27.464 13.825 13.778 11.967 11.920 54.605 65.019 0.328 -0.344 -0.173 0.166 -0.003 -0.036 -0.036 1.321 1.323 40.085 1.116 0.014 0.014 2.349 2.334 7.441 7.419 229.440 229.436 232.557 232.557 -0.001 -0.001 0.001 0.001 4169.582 4158.808 6209.834 6198.849 -0.003 99.998 771.725 1364.925 1363.988 0.002 0.000 -2.516 -13.708 -2.854 -2.857 -2.717 -2.721 -0.330 0.342 0.169 -0.169 3.853 -0.067 -0.067 3.805 3.803 -0.642 0.678 0.855 -0.831 -4146.261 -4432.151 519.642 675.680 1155.923 2348.638 -4177.059 -4460.410 530.208 683.261 1166.995 2333.814 -6931.988 -14353.678 3945.973 6990.189 -1148.163 7440.729 -6931.346 -14370.104 3936.999 7007.401 -1148.996 7418.903
1.500 91.084 230.513 6583.941 5.000 0.414 -0.004 -0.000 -0.010 0.029 -14.786 -14.826 -27.312 -27.349 14.018 13.968 12.111 12.063 54.377 64.835 0.332 -0.340 -0.173 0.165 -0.004 -0.035 -0.036 1.313 1.315 40.152 1.116 0.014 0.014 2.380 2.367 7.488 7.471 230.428 230.425 233.541 233.541 0.001 0.001 -0.000 -0.001 4190.750 4181.604 6229.794 6220.537 -0.002 100.002 770.522 1362.755 1361.975 0.002 0.000 -2.288 -13.599 -2.858 -2.861 -2.721 -2.725 -0.335 0.337 0.169 -0.169 3.856 -0.067 -0.067 3.799 3.797 -0.653 0.668 0.862 -0.835 -4177.135 -4464.636 522.487 680.238 1168.265 2379.524 -4187.162 -4473.403 527.009 683.609 1172.004 2366.628 -6961.451 -14395.271 3940.784 7015.636 -1141.753 7488.388 -6964.958 -14421.385 3931.470 7039.339 -1142.999 7471.288
1.634 99.697 232.455 6638.113 5.000 0.408 -0.001 -0.000 0.006 -0.011 -14.493 -14.507 -27.099 -27.112 14.384 14.367 12.376 12.361 53.920 64.475 0.335 -0.337 -0.170 0.168 -0.001 -0.035 -0.035 1.299 1.299 40.288 1.115 0.014 0.014 2.438 2.436 7.579 7.575 232.370 232.370 235.474 235.474 -0.001 -0.001 0.000 0.001 4231.202 4229.507 6266.653 6264.681 -0.001 100.001 767.783 1357.978 1357.225 0.003 0.000 -1.830 -13.387 -2.867 -2.868 -2.730 -2.731 -0.336 0.335 0.169 -0.169 3.860 -0.066 -0.066 3.786 3.784 -0.660 0.665 0.863 -0.856 -4221.170 -4512.597 523.608 686.177 1186.857 2438.148 -4225.237 -4516.613 525.016 687.449 1188.340 2435.941 -7024.167 -14494.186 3925.787 7079.916 -1129.504 7578.788 -7026.600 -14501.952 3921.894 7087.292 -1129.007 7575.403
1.701 104.003 233.410 6664.713 5.000 0.405 -0.002 -0.000 -0.052 0.012 -14.341 -14.351 -26.990 -27.001 14.573 14.561 12.513 12.499 53.692 64.299 0.332 -0.341 -0.170 0.169 -0.000 -0.035 -0.034 1.291 1.292 40.356 1.114 0.014 0.014 2.472 2.467 7.629 7.621 233.326 233.324 236.423 236.423 -0.001 -0.001 0.001 0.001 4254.376 4250.607 6287.418 6283.567 -0.001 99.998 766.288 1355.171 1354.825 0.003 0.000 -1.601 -13.284 -2.871 -2.871 -2.734 -2.735 -0.332 0.340 0.169 -0.169 3.862 -0.066 -0.066 3.778 3.777 -0.653 0.673 0.867 -0.862 -4234.244 -4528.583 521.107 687.148 1192.947 2471.603 -4253.194 -4546.206 526.995 691.343 1199.785 2466.547 -7057.354 -14542.236 3918.218 7110.664 -1122.433 7628.870 -7054.942 -14541.255 3916.011 7111.693 -1122.427 7620.508
1.767 108.293 234.350 6690.901 5.000 0.402 -0.001 -0.000 0.004 0.011 -14.186 -14.201 -26.880 -26.894 14.767 14.748 12.650 12.633 53.464 64.125 0.335 -0.337 -0.171 0.168 -0.001 -0.034 -0.034 1.283 1.284 40.425 1.114 0.014 0.014 2.503 2.499 7.675 7.669 234.266 234.265 237.358 237.358 0.001 0.000 -0.000 -0.001 4276.117 4272.925 6306.679 6303.506 -0.001 100.002 764.800 1352.521 1352.286 0.004 0.000 -1.372 -13.181 -2.874 -2.876 -2.737 -2.739 -0.336 0.336 0.169 -0.169 3.865 -0.066 -0.066 3.771 3.770 -0.662 0.665 0.875 -0.865 -4263.719 -4559.814 523.350 691.346 1204.924 2503.212 -4264.509 -4560.297 524.182 691.983 1205.289 2498.655 -7085.817 -14579.810 3912.039 7133.933 -1115.376 7674.612 -7087.366 -14589.948 3908.761 7142.944 -1115.918 7668.865
