xtime[s] xdist[m] speed[km/h] nmot[rpm] gear[n] accx[g] accy[g] accz[g] steer[deg] yaw[deg/s] dam_fl[mm] dam_fr[mm] dam_rl[mm] dam_rr[mm] Jounce_FL[mm] Jounce_FR[mm] Jounce_RL[mm] Jounce_RR[mm] Ride_AxleFront[mm] Ride_AxleRear[mm] SideSlipFL[deg] SideSlipFR[deg] SideSlipRL[deg] SideSlipRR[deg] SideSlipCG[deg] slip_fl[pct] slip_fr[pct] slip_rl[pct] slip_rr[pct] AeroBalance[pct] Cx[none] pbrake_f[bar] pbrake_r[bar] Load_FL_Ch1[kN] Load_FR_Ch1[kN] Load_RL_Ch1[kN] Load_RR_Ch1[kN] vwheel_fl[km/h] vwheel_fr[km/h] vwheel_rl[km/h] vwheel_rr[km/h] acc_fl[g] acc_fr[g] acc_rl[g] acc_rr[g] Fz_fl[kN] Fz_fr[kN] Fz_rl[kN] Fz_rr[kN] roll[deg] aps[%] me_act[Nm] md_rl[Nm] md_rr[Nm] damper_force_FC[kN] damper_force_RC[kN] dam_3rd_front[mm] dam_3rd_rear[mm] CamberFL[deg] CamberFR[deg] CamberRL[deg] CamberRR[deg] ToeFL[deg] ToeFR[deg] ToeRL[deg] ToeRR[deg] CLA[m2] Fx_FL[kN] Fx_FR[kN] Fx_RL[kN] Fx_RR[kN] Fy_FL[kN] Fy_FR[kN] Fy_RL[kN] Fy_RR[kN] 
0.252 16.889 243.262 7022.413 5.000 0.391 0.192 -0.001 1.341 -1.879 9.201 10.642 14.673 16.284 11.502 13.303 18.341 20.355 43.644 48.547 0.339 0.072 0.297 0.070 0.145 -0.031 -0.029 1.325 1.243 42.588 1.061 0.003 0.002 2.365 3.039 6.675 7.411 243.088 243.288 246.389 246.382 0.004 0.002 0.000 -0.001 4161.094 4625.540 6023.920 6405.735 0.099 100.000 742.319 1303.596 1320.539 0.322 0.002 2.809 -1.750 -2.825 -2.690 -2.838 -2.696 -0.243 0.024 -0.113 0.113 3.642 -0.057 -0.060 3.682 3.729 -0.551 -0.456 -0.147 -1.017
0.295 19.835 243.860 7039.272 5.000 0.389 0.209 -0.001 1.438 -2.064 9.176 10.741 14.687 16.436 11.471 13.427 18.359 20.546 43.577 48.425 0.355 0.088 0.313 0.087 0.158 -0.030 -0.029 1.325 1.234 42.601 1.060 0.003 0.002 2.352 3.086 6.668 7.469 243.676 243.897 246.984 246.977 0.003 0.002 0.001 -0.000 4152.236 4657.991 6018.092 6434.180 0.108 99.999 741.073 1301.070 1318.723 0.331 0.002 2.865 -1.672 -2.832 -2.685 -2.847 -2.692 -0.251 0.017 -0.113 0.113 3.641 -0.057 -0.060 3.675 3.724 -0.587 -0.503 -0.194 -1.077
0.317 21.312 244.159 7047.664 5.000 0.388 0.218 -0.001 1.478 -2.152 9.161 10.794 14.692 16.515 11.452 13.492 18.365 20.644 43.544 48.365 0.364 0.096 0.322 0.095 0.165 -0.030 -0.028 1.324 1.230 42.607 1.060 0.003 0.002 2.345 3.110 6.663 7.499 243.970 244.200 247.281 247.273 0.002 0.002 0.001 0.000 4147.285 4674.770 6014.796 6448.724 0.112 99.990 740.387 1299.559 1317.841 0.336 0.002 2.893 -1.633 -2.836 -2.682 -2.852 -2.690 -0.254 0.014 -0.113 0.113 3.641 -0.056 -0.060 3.670 3.721 -0.604 -0.526 -0.219 -1.110
0.340 22.876 244.473 7056.525 5.000 0.387 0.228 -0.001 1.528 -2.243 9.144 10.850 14.695 16.600 11.430 13.563 18.368 20.750 43.509 48.301 0.374 0.106 0.332 0.105 0.173 -0.030 -0.028 1.324 1.226 42.614 1.060 0.003 0.002 2.337 3.137 6.658 7.531 244.279 244.519 247.594 247.586 0.003 0.002 0.001 -0.000 4141.775 4692.815 6011.030 6464.326 0.117 100.000 739.785 1298.077 1317.202 0.340 0.002 2.922 -1.592 -2.840 -2.679 -2.857 -2.688 -0.258 0.010 -0.113 0.113 3.641 -0.056 -0.060 3.666 3.719 -0.626 -0.554 -0.247 -1.145
0.386 26.005 245.098 7074.122 5.000 0.384 0.248 -0.001 1.616 -2.419 9.105 10.968 14.695 16.773 11.381 13.710 18.369 20.967 43.438 48.175 0.393 0.124 0.352 0.125 0.189 -0.030 -0.028 1.323 1.218 42.629 1.059 0.003 0.002 2.319 3.190 6.646 7.596 244.895 245.153 248.216 248.207 0.002 0.001 0.001 0.001 4129.574 4729.960 6002.718 6496.196 0.128 99.999 738.392 1294.585 1315.835 0.350 0.002 2.981 -1.511 -2.849 -2.673 -2.868 -2.684 -0.265 0.003 -0.113 0.114 3.640 -0.056 -0.060 3.656 3.716 -0.667 -0.610 -0.303 -1.217
0.409 27.568 245.408 7082.848 5.000 0.383 0.258 -0.001 1.655 -2.503 9.084 11.027 14.694 16.861 11.355 13.784 18.367 21.076 43.403 48.112 0.402 0.134 0.362 0.135 0.198 -0.030 -0.028 1.323 1.214 42.636 1.059 0.003 0.002 2.310 3.218 6.640 7.628 245.200 245.468 248.524 248.515 0.001 0.001 0.002 0.001 4123.353 4748.658 5998.504 6512.072 0.133 99.991 737.625 1292.659 1315.083 0.354 0.002 3.010 -1.471 -2.853 -2.669 -2.873 -2.681 -0.268 -0.000 -0.113 0.114 3.639 -0.056 -0.060 3.651 3.714 -0.687 -0.638 -0.331 -1.253
0.433 29.224 245.735 7092.054 5.000 0.382 0.269 -0.001 1.713 -2.593 9.062 11.091 14.692 16.954 11.327 13.864 18.364 21.192 43.366 48.046 0.414 0.145 0.373 0.145 0.207 -0.030 -0.028 1.322 1.209 42.644 1.059 0.003 0.002 2.300 3.247 6.633 7.663 245.522 245.800 248.850 248.840 0.002 0.002 0.001 0.001 4116.672 4768.562 5993.856 6528.975 0.139 100.000 736.922 1290.797 1314.475 0.359 0.002 3.041 -1.429 -2.858 -2.666 -2.879 -2.679 -0.273 -0.005 -0.113 0.114 3.639 -0.056 -0.060 3.646 3.712 -0.712 -0.671 -0.361 -1.292
0.482 32.530 246.383 7110.286 5.000 0.379 0.291 -0.002 1.808 -2.774 9.015 11.221 14.684 17.141 11.269 14.026 18.354 21.426 43.291 47.916 0.435 0.166 0.395 0.167 0.224 -0.030 -0.027 1.321 1.201 42.659 1.059 0.003 0.002 2.280 3.305 6.618 7.732 246.160 246.457 249.494 249.484 0.002 0.001 0.002 0.002 4102.645 4808.888 5984.182 6562.948 0.151 99.999 735.312 1286.712 1312.941 0.369 0.002 3.102 -1.346 -2.868 -2.659 -2.890 -2.673 -0.281 -0.012 -0.113 0.114 3.638 -0.055 -0.060 3.634 3.708 -0.757 -0.734 -0.422 -1.371
0.506 34.180 246.704 7119.309 5.000 0.378 0.302 -0.002 1.848 -2.862 8.991 11.285 14.679 17.234 11.239 14.107 18.348 21.543 43.254 47.852 0.445 0.176 0.405 0.177 0.233 -0.030 -0.027 1.321 1.196 42.667 1.058 0.003 0.002 2.270 3.334 6.611 7.766 246.476 246.783 249.814 249.802 0.001 0.001 0.002 0.002 4095.819 4828.872 5979.506 6579.616 0.157 99.991 734.427 1284.539 1312.020 0.374 0.002 3.133 -1.305 -2.872 -2.655 -2.896 -2.671 -0.284 -0.015 -0.113 0.114 3.638 -0.055 -0.060 3.628 3.705 -0.778 -0.765 -0.452 -1.410
0.531 35.928 247.042 7128.821 5.000 0.376 0.314 -0.002 1.910 -2.956 8.966 11.354 14.673 17.332 11.208 14.193 18.342 21.665 43.215 47.784 0.458 0.188 0.417 0.189 0.243 -0.030 -0.027 1.320 1.192 42.676 1.058 0.003 0.002 2.260 3.365 6.603 7.802 246.809 247.126 250.150 250.138 0.002 0.002 0.002 0.001 4088.583 4850.057 5974.374 6597.341 0.163 100.000 733.585 1282.411 1311.188 0.379 0.002 3.166 -1.261 -2.877 -2.651 -2.902 -2.668 -0.289 -0.020 -0.113 0.114 3.637 -0.055 -0.060 3.622 3.703 -0.804 -0.801 -0.484 -1.452
